Epoch 1, train loss 1.6425, test rmse 2.260102
Epoch 2, train loss 1.3671, test rmse 2.082305
Epoch 1, train loss 1.6425, test rmse 2.260102
Epoch 1, train loss 1.6425, test rmse 2.260102
Epoch 1, train loss 10.0000, test rmse 3.876633
Epoch 1, train loss 10.0000, test rmse 3.876633
Epoch 1, train loss 10.0000, test rmse 3.876633
Epoch 2, train loss 10.0000, test rmse 3.876633
Epoch 1, train loss 10.0000, test rmse 3.876633
Epoch 2, train loss 10.0000, test rmse 3.876633
Epoch 1, train loss 10.0000, test rmse 3.876633
Epoch 2, train loss 10.0000, test rmse 3.876633
Epoch 1, train loss 10.0000, test rmse 3.876633
Epoch 2, train loss 10.0000, test rmse 3.876633
Epoch 1, train loss 10.0000, test rmse 3.876633
Epoch 2, train loss 10.0000, test rmse 3.876633
